Name,Latitude,Longitude
"Akazienweg 4, 38531",52.418627,10.535304
"Alte Heerstr. 4, 38531",52.41764,10.524476
"Alte Heerstr. 4a, 38531",52.41793,10.524484
"Alte Heerstr. 5a, 38531",52.416999,10.524328
"Alte Ziegelei 1, 38531",52.415137,10.533298
"Alte Ziegelei 10, 38531",52.415168,10.533418
"Alte Ziegelei 3, 38531",52.415639,10.533593
"Alte Ziegelei 4, 38531",52.415801,10.533569
"Alte Ziegelei 5, 38531",52.415832,10.533719
"Alte Ziegelei 7, 38531",52.415757186755236,10.533856270547092
"Alte Ziegelei 7, 38531",52.415698133289425,10.533823997068561
"Alte Ziegelei 7, 38531",52.415726,10.533837
"Alte Ziegelei 8, 38531",52.415566,10.533705
"Am Bahndamm 1, 38531",52.414692,10.525739
"Am Eikhof 5, 38531",52.415366,10.527467
"Am Eikhof 5, 38531",52.415302,10.527426
"Am Eikhof 6, 38531",52.414862,10.527155
"Am Eikhof 9, 38531",52.415021,10.527319
"Am Gografenhaus 11, 38531",52.413097,10.532142
"Am Gografenhaus 2, 38531",52.412488,10.531973
"Am Ochsenberg 19, 38531",52.418293,10.532742
"Am Ochsenberg 19, 38531",52.418353,10.532748
"Am Ochsenberg 19, 38531",52.418391,10.532769
"Am Ochsenberg 25, 38531",52.419104,10.532488
"Am Ochsenberg 26, 38531",52.419521,10.532434
"Am Ochsenberg 30, 38531",52.419849,10.532394
"Am Schulgarten 1, 38531",52.414496,10.5273
"Am Schulgarten 2, 38531",52.414488,10.52745
"Am Schulgarten 4, 38531",52.414128,10.527866
"Am Schulgarten 8, 38531",52.413832,10.528051
"Amselweg 11, 38531",52.42189,10.531729
"Amselweg 7, 38531",52.421502,10.531643
"Bahnhofstraße 2b, 38531",52.414978,10.525527
"Bahnhofstraße 9, 38531",52.414834,10.526407
"Dorfstraße 12, 38531",52.416089,10.530272
"Dorfstraße 13, 38531",52.416241,10.529682
"Dorfstraße 13, 38531",52.41629,10.529548
"Dorfstraße 23, 38531",52.41665,10.527011
"Dorfstraße 23, 38531",52.416606,10.526984
"Dorfstraße 23, 38531",52.416603,10.526893
"Dorfstraße 23, 38531",52.416627,10.526844
"Dorfstraße 24, 38531",52.416819,10.528328
"Fasanenweg 14, 38531",52.422619,10.530653
"Fasanenweg 16, 38531",52.422605,10.530417
"Fasanenweg 19, 38531",52.421424,10.530189
"Fasanenweg 21, 38531",52.421236,10.530192
"Fasanenweg 21, 38531",52.421196,10.530194
"Fasanenweg 21, 38531",52.42125,10.530184
"Fasanenweg 22, 38531",52.421988,10.530202
"Fasanenweg 24, 38531",52.421785,10.530151
"Finkenweg 4, 38531",52.42162,10.532614
"Ginsterweg 11, 38531",52.41914,10.537517
"Ginsterweg 12, 38531",52.418928,10.537179
"Ginsterweg 12a, 38531",52.418928,10.537291
"Ginsterweg 7, 38531",52.419031,10.536771
"Hauptstraße 10c, 38531",52.41385,10.531527
"Hauptstraße 14, 38531",52.414622,10.532034
"Hauptstraße 16a, 38531",52.414924,10.532238
"Hauptstraße 17, 38531",52.414857,10.531924
"Hauptstraße 3, 38531",52.413154,10.530779
"Heckenrosenweg 10, 38531",52.41771,10.536814
"Heckenrosenweg 1a, 38531",52.418065,10.535167
"Heideweg 6, 38531",52.419098,10.537624
"Heideweg 6a, 38531",52.419152,10.537616
"Heideweg 7, 38531",52.419454,10.537804
"Hohe Luft 4a, 38531",52.413058,10.533705
"Hohes Feld 1a, 38531",52.418982,10.533542
"Hohes Feld 20a, 38531",52.420823,10.533606
"Hohes Feld 9, 38531",52.42032,10.533531
"Lehmring 13, 38531",52.414018,10.533984
"Lehmring 14, 38531",52.413922,10.535148
"Lehmring 2, 38531",52.413673,10.533947
"Lehmring 2, 38531",52.413653,10.534043
"Lehmring 4, 38531",52.413611,10.534362
"Lehmring 5, 38531",52.41382,10.533408
"Lehmweg 1, 38531",52.414938,10.53315
"Lehmweg 1, 38531",52.414926,10.533212
"Lehmweg 3, 38531",52.414903,10.533295
"Lerchenweg 1, 38531",52.420496,10.532544
"Lerchenweg 12, 38531",52.42074,10.530806
"Lerchenweg 4, 38531",52.42059,10.532496
"Masch 1, 38531",52.416557,10.533496
"Masch 16, 38531",52.416163,10.535886
"Masch 5, 38531",52.41638,10.534194
"Masch 9, 38531",52.416326,10.534843
"Mühlenweg 4, 38531",52.409442,10.529795
"Am Ochsenberg 12, 38531",52.417936,10.53267
"Am Ochsenberg 12, 38531",52.418038,10.532761
"Össelkämpe 15, 38531",52.415194,10.538018
"Össelkämpe 16, 38531",52.414962,10.537337
"Össelkämpe 2, 38531",52.415535,10.537702
"Össelkämpe 20, 38531",52.414622,10.536822
"Össelkämpe 31, 38531",52.414416,10.53745
"Össelkämpe 31, 38531",52.414406,10.537401
"Össelkämpe 31, 38531",52.414386,10.537399
"Össelkämpe 31, 38531",52.414355,10.537401
"Össelkämpe 31, 38531",52.414306,10.537407
"Össelkämpe 6a, 38531",52.415468,10.53716
"Össelkämpe 8, 38531",52.415366,10.537595
"Schierenbalken 12, 38531",52.411981,10.532775
"Schierenbalken 12, 38531",52.411993,10.532673
"Schierenbalken 12, 38531",52.412001,10.532611
"Schierenbalken 12, 38531",52.412004,10.532536
"Schierenbalken 13, 38531",52.41205,10.533502
"Schierenbalken 14, 38531",52.41197,10.532869
"Schierenbalken 14, 38531",52.411962,10.532987
"Schierenbalken 14a, 38531",52.411934,10.533182
"Schierenbalken 4, 38531",52.412096,10.531214
"Schmiedestraße 3, 38531",52.416533,10.532877
"Schmiedestraße 6, 38531",52.41622,10.531949
"Dorfstraße 17, 38531",52.415818,10.528902
"Schulstraße 11, 38531",52.415142,10.529422
"Schulstraße 17, 38531",52.41505,10.528545
"Schulstraße 21, 38531",52.415831,10.528362
"Schulstraße 21a, 38531",52.415646,10.528564
"Schulstraße 21b, 38531",52.415379,10.528507
"Schulstraße 23, 38531",52.415412,10.527367
"Schulstraße 23, 38531",52.415464,10.527399
"Schulstraße 23, 38531",52.415515,10.527413
"Schulstraße 23, 38531",52.415553,10.527432
"Schulstraße 33, 38531",52.416315,10.526284
"Schulstraße 4, 38531",52.415724,10.529207
"Südring 10, 38531",52.413126,10.524433
"Südring 4, 38531",52.41363,10.524653
"Wiesenweg 1, 38531",52.416225,10.53753
"Wiesenweg 12, 38531",52.416919,10.536844
"Zum Sportplatz 8, 38531",52.41356,10.526021
"Zur Diwelie 10, 38531",52.419521,10.537131
"Zur Diwelie 12, 38531",52.419495,10.537396
"Zur Diwelie 24, 38531",52.418823,10.538764
"Zur Diwelie 25, 38531",52.419945,10.537702
"Zur Diwelie 29, 38531",52.419539,10.537831
"Zur Diwelie 34, 38531",52.418098,10.538726
"Zur Diwelie 35, 38531",52.419137,10.538901
Zur Diwelie 38a,52.417856,10.538649
